uniprot_id	pdb_id
P12724	1DYT
P12724	1H1H
P12724	1QMT
P12724	2KB5
P12724	2LVZ
P12724	4A2O
P12724	4A2Y
P12724	4OWZ
P12724	4OXB
P12724	4OXF
P12724	4X08
Q6ZNE5	6HOL
P08185	2VDX
P08185	2VDY
P08185	4BB2
P08185	4C41
P08185	4C49
Q13362	2IAE
Q13362	2JAK
Q13362	2NPP
Q13362	2NYL
Q13362	2NYM
Q13362	3FGA
Q13362	5JJA
Q13362	5K6S
Q13362	5SW9
Q13362	5SWF
J3KN32	2IW5
J3KN32	2UXN
J3KN32	2UXX
J3KN32	2V1D
J3KN32	2X0L
J3KN32	2XAF
J3KN32	2XAG
J3KN32	2XAH
J3KN32	2XAJ
J3KN32	2XAQ
J3KN32	2XAS
J3KN32	2Y48
J3KN32	3ZMS
J3KN32	3ZMT
J3KN32	3ZMU
J3KN32	3ZMV
J3KN32	3ZMZ
J3KN32	3ZN0
J3KN32	3ZN1
J3KN32	4BAY
J3KN32	4KUM
J3KN32	4UV8
J3KN32	4UV9
J3KN32	4UVA
J3KN32	4UVB
J3KN32	4UVC
J3KN32	4UXN
J3KN32	4XBF
J3KN32	5H6Q
J3KN32	5H6R
J3KN32	5L3B
J3KN32	5L3C
J3KN32	5L3D
J3KN32	5L3E
J3KN32	5L3F
J3KN32	5L3G
J3KN32	5LBQ
J3KN32	5LGN
J3KN32	5LGT
J3KN32	5LGU
J3KN32	5LHG
J3KN32	5LHH
J3KN32	5LHI
J3KN32	5X60
J3KN32	5YJB
Q8IVF2	4CN0
P30793	1FB1
Q96FX7	5CCB
Q96FX7	5CCX
Q96FX7	5CD1
Q96KE9	2VKP
O43915	2XV7
P51610	4GO6
P51610	4N39
P51610	4N3A
P51610	4N3B
P51610	4N3C
P51610	5LWV
P51610	6MA1
P51610	6MA2
P51610	6MA3
P51610	6MA4
P51610	6MA5
Q8NFH8	1IQ3
P13473	2MOF
P13473	2MOM
Q96IZ5	2CPX
Q15233	3SDE
Q15233	5IFM
Q15052	1UJY
Q15052	1WYR
Q9Y388	5Z56
Q9Y388	5Z57
Q9Y388	5Z58
Q9Y388	6FF4
Q9Y388	6FF7
B4DWR3	6NR8
B4DWR3	6NR9
B4DWR3	6NRB
B4DWR3	6NRC
B4DWR3	6NRD
Q13620	2DO7
Q13620	4A0C
Q13620	4A0L
Q13620	4A64
Q9ULL8	2EDP
Q04656	1AW0
Q04656	1KVI
Q04656	1KVJ
Q04656	1Q8L
Q04656	1S6O
Q04656	1S6U
Q04656	1Y3J
Q04656	1Y3K
Q04656	1YJR
Q04656	1YJT
Q04656	1YJU
Q04656	1YJV
Q04656	2AW0
Q04656	2G9O
Q04656	2GA7
Q04656	2K1R
Q04656	2KIJ
Q04656	2KMV
Q04656	2KMX
Q04656	3CJK
Q04656	5T7L
P57739	4YYX
Q00994	1SA6
O95671	2P5X
P08034	1TXH
P08034	5KK9
P43358	1I4F
P43358	2WA0
P51812	4D9T
P51812	4D9U
P51812	4JG6
P51812	4JG7
P51812	4JG8
P51812	4NUS
P51812	4NW5
P51812	4NW6
P51812	5D9K
P51812	5D9L
P50052	5UNF
P50052	5UNG
P50052	5UNH
Q96P20	2NAQ
Q96P20	3QF2
Q96P20	6NPY
O43524	2K86
O43524	2LQH
O43524	2LQI
O43524	2UZK
O43524	6MNL
Q8NC51	4V6X
P52630	2KA4
P02748	5FMW
P02748	6DLW
P02748	6H03
P02748	6H04
P42680	2LUL
P35225	1GA3
P35225	1IJZ
P35225	1IK0
P35225	1J9U
P35225	3BPO
P35225	3G6D
P35225	3ITR
P35225	3ITS
P35225	3L5W
P35225	3L5X
P35225	3LB6
P35225	4I77
P35225	4PS4
P35225	5E4E
P35225	5L6Y
P09603	1HMC
P09603	3UEZ
P09603	3UF2
P09603	4ADF
P09603	4FA8
P09603	4WRL
P09603	4WRM
P09603	5LXF
P02774	1J78
P02774	1J7E
P02774	1KW2
P02774	1KXP
P02774	1LOT
P02774	1MA9
Q15788	1FM6
Q15788	1FM9
Q15788	1K4W
Q15788	1K74
Q15788	1K7L
Q15788	1KV6
Q15788	1N4H
Q15788	1NQ7
